activityID,operationID,operationName,description,fringe,corridor,hub,border,ratio,caldariStationTypeID,minmatarStationTypeID,amarrStationTypeID,gallenteStationTypeID,joveStationTypeID
1,1,Plantation,Makes livestock and grain that is shipped to food processing units.,0.7,0.2,0.1,0,0.65,1531,2499,1930,3866,3865
1,2,Food Packaging,Makes food that is shipped to warehouses.,0,0.2,0.5,0.3,0.2,4024,2497,1928,3866,3865
1,3,Warehouse,Stores products and shifts goods to external retailers or production corporations.,0,0.5,0,0.5,0.15,1531,2501,1929,3870,3865
2,4,Foundry,Mines minerals from asteroid belts/clouds.,0.9,0.1,0,0,0.3,1529,2499,1930,3867,3865
2,5,Production Plant,Molds finished construction pieces.,0.25,0.15,0.5,0.1,0.5,1529,2497,1928,3867,3865
2,6,Warehouse,Stores product and freights goods to production corps.,0,0.5,0,0.5,0.2,1531,2501,1929,3870,3865
3,7,Mining Outpost,Mines minerals from asteroid belts/clouds.,0.9,0.1,0,0,0.65,4023,2499,1930,3865,3865
3,8,Refinery,"Refines the minerals, making purified ingots and rock materials.",0,0.1,0.45,0.45,0.15,4024,2497,1928,3867,3865
3,9,Mineral Reserve,Stores product and freights goods to production corps.,0,0.5,0,0.5,0.2,4023,2501,1929,3865,3865
4,10,Reprocessing Facility,Extracts chemicals from asteroid belts/clouds.,0.9,0.1,0,0,0.1,4023,2499,1930,3867,3865
4,11,Chemical Refinery,"Refines the harvested chemicals, making bottled products.",0,0.1,0.9,0,0.8,1529,2497,1928,3867,3865
4,12,Chemical Storage,Stores products and shifts goods to production corporations.,0,0.5,0,0.5,0.1,1531,2501,1929,3870,3865
5,13,Testing Facilities,Makes plans and blueprints that are shipped to Assembly Plant.,0.9,0.1,0,0,0.2,54,2500,1931,3869,3865
5,14,Assembly Plant,Produces weapons and ammunition that are shipped for storage.,0,0.1,0.6,0.3,0.55,1529,2498,1927,3867,3865
5,15,Logistic Support,Stores product and freights goods to external retailers.,0,0.5,0,0.5,0.25,1530,2501,1929,3868,3865
6,16,Biotech Research Center,Harvests resources from a planet.,0.7,0.3,0,0,0.2,54,2499,1930,3869,3865
6,17,Biotech Production,Produces Biotech products.,0,0.1,0.45,0.45,0.7,1529,2497,1928,3867,3865
6,18,Biohazard Containment Facility,Stores and recycles materials classified as biohazards.,0.5,0.5,0,0,0.1,54,2501,1929,3869,3865
7,19,Research Center,Makes plans and blueprints that are shipped to Factory.,0.7,0.3,0,0,0.1,54,2500,1931,3869,3865
7,20,Factory,Produces finished hi-tech products.,0,0.1,0.5,0.4,0.8,1529,2497,1928,3867,3865
7,21,Warehouse,Stores product and freights goods to external retailers.,0,0.5,0,0.5,0.1,1531,2501,1929,3870,3865
8,22,Development Studio,Produces entertainment material that is shipped to Publishers.,0,0.1,0.45,0.45,0.8,1531,2496,1931,56,3865
8,23,Publisher,Stores and multiplies the entertainment material and ships it to retailers.,0,0.1,0.8,0.1,0.2,3872,2496,1926,57,3865
9,24,Shipyard,Produces starships that are shipped for storage in Storage Bay.,0,0.1,0.9,0,0.8,1530,2498,1927,3868,3865
9,25,Storage Bay,Stores ships before freighting them to retailers.,0,0.5,0,0.5,0.2,3872,2502,1929,3870,3865
10,26,Storage,Stores cargo for other corps before shipping it to retailers.,0.25,0.25,0.25,0.25,1,1531,2501,1929,3870,3865
11,27,Warehouse,Stores products and freights goods to retail center.,0.4,0.25,0.1,0.25,0.7,1531,2501,1929,3870,3865
11,28,Retail Center,"Sells goods from warehouses to consumers, and to service stations.",0,0.1,0.45,0.45,0.3,1531,2496,1926,57,3865
12,29,Warehouse,Stores products and freights goods to Trading Post.,0.5,0.25,0,0.25,0.5,1531,2501,1929,3870,3865
12,30,Trading Post,Sells wares received from production corps.,0,0.15,0.35,0.5,0.5,1531,2502,1932,3868,3865
13,31,Bureau Offices,Delivers reports and provides information concerning the Bureau's field.,0,0.1,0.45,0.45,0.4,1529,2496,1926,56,3865
14,32,Academy,Studies issues within the administration system and produces personnel.,0.5,0.5,0,0,0.2,1529,2502,9857,57,3865
14,33,Bureau,Delivers reports and publishes rules and manifestos concerning the Bureau's field.,0,0.15,0.4,0.45,0.7,1531,2502,1932,56,3865
14,34,Treasury,Stores data and kredit sheets for the Bureau to work with.,1,0,0,0,0.1,1530,2498,1927,3868,3865
17,35,Depository,Works as a bank.,0,0.1,0.85,0.05,0.7,1529,2502,1932,57,3865
17,36,Vault,Stores data and kredit sheets for the Bank to work with.,1,0,0,0,0.3,1530,2501,1927,3868,3865
18,37,School,Produces personnel and sells skill packages.,0,0,0.5,0.5,1,1529,2500,1931,57,3865
19,38,Factory,,0,0.1,0.45,0.45,0.8,4024,2497,1928,3867,3865
19,39,Warehouse,,0,0.5,0,0.5,0.2,1531,2501,1929,3870,3865
15,40,Tribunal,Court facilities where judicial matters are arbitrated.,0,0,0.5,0.5,0.4,1530,2496,9857,3868,3865
15,41,Accounting,Accounting and audit firms,0.3,0.3,0.2,0.2,0.3,1529,2500,1931,57,3865
15,42,Law School,,0.5,0.3,0.1,0.1,0.3,3871,2502,1929,56,3865
